#PY	PYTONE	WG	YALE	GI	BPMF	GR	FR	TY
ban,ban0,ban5	ban	pan,pan0,pan5	ban,ban0,ban5	ban,ban0,ban5	ㄅㄢ˙,ㄅㄢ	.ban	pan,pan0,pan5	ban
ban1	bān	pan1	ban1	ban1	ㄅㄢˉ	ban	pan1	ban1
ban2	bán	pan2	ban2	ban2	ㄅㄢˊ	barn	pan2	ban2
ban3	bǎn	pan3	ban3	ban3	ㄅㄢˇ	baan	pan3	ban3
ban4	bàn	pan4	ban4	ban4	ㄅㄢˋ	bann	pan4	ban4
bang,bang0,bang5	bang	pang,pang0,pang5	bang,bang0,bang5	bang,bang0,bang5	ㄅㄤ˙,ㄅㄤ	.bang	pang,pang0,pang5	bang
bang1	bāng	pang1	bang1	bang1	ㄅㄤˉ	bang	pang1	bang1
bang2	báng	pang2	bang2	bang2	ㄅㄤˊ	barng	pang2	bang2
bang3	bǎng	pang3	bang3	bang3	ㄅㄤˇ	baang	pang3	bang3
bang4	bàng	pang4	bang4	bang4	ㄅㄤˋ	banq	pang4	bang4
bao,bao0,bao5	bao	pao,pao0,pao5	bau,bau0,bau5	bau,bau0,bau5	ㄅㄠ˙,ㄅㄠ	.bau	pao,pao0,pao5	bao
bao1	bāo	pao1	bau1	bau1	ㄅㄠˉ	bau	pao1	bao1
bao2	báo	pao2	bau2	bau2	ㄅㄠˊ	baur	pao2	bao2
bao3	bǎo	pao3	bau3	bau3	ㄅㄠˇ	bao	pao3	bao3
bao4	bào	pao4	bau4	bau4	ㄅㄠˋ	baw	pao4	bao4
bei,bei0,bei5	bei	pei,pei0,pei5	bei,bei0,bei5	bei,bei0,bei5	ㄅㄟ˙,ㄅㄟ	.bei	pei,pei0,pei5	bei
bei1	bēi	pei1	bei1	bei1	ㄅㄟˉ	bei	pei1	bei1
bei2	béi	pei2	bei2	bei2	ㄅㄟˊ	beir	pei2	bei2
bei3	běi	pei3	bei3	bei3	ㄅㄟˇ	beei	pei3	bei3
bei4	bèi	pei4	bei4	bei4	ㄅㄟˋ	bey	pei4	bei4
ben,ben0,ben5	ben	pen,pen0,pen5,pên,pên0,pên5	ben,ben0,ben5	ben,ben0,ben5	ㄅㄣ˙,ㄅㄣ	.ben	pen,pen0,pen5	ben
ben1	bēn	pen1,pên1	ben1	ben1	ㄅㄣˉ	ben	pen1	ben1
ben2	bén	pen2,pên2	ben2	ben2	ㄅㄣˊ	bern	pen2	ben2
ben3	běn	pen3,pên3	ben3	ben3	ㄅㄣˇ	been	pen3	ben3
ben4	bèn	pen4,pên4	ben4	ben4	ㄅㄣˋ	benn	pen4	ben4
beng,beng0,beng5	beng	peng,peng0,peng5,pêng,pêng0,pêng5	beng,beng0,beng5	beng,beng0,beng5	ㄅㄥ˙,ㄅㄥ	.beng	pong,pong0,pong5	beng
beng1	bēng	peng1,pêng1	beng1	beng1	ㄅㄥˉ	beng	pong1	beng1
beng2	béng	peng2,pêng2	beng2	beng2	ㄅㄥˊ	berng	pong2	beng2
beng3	běng	peng3,pêng3	beng3	beng3	ㄅㄥˇ	beeng	pong3	beng3
beng4	bèng	peng4,pêng4	beng4	beng4	ㄅㄥˋ	benq	pong4	beng4
bi,bi0,bi5	bi	pi,pi0,pi5	bi,bi0,bi5	bi,bi0,bi5	ㄅ一˙,ㄅ一	.bi	pi,pi0,pi5	bi
bi1	bī	pi1	bi1	bi1	ㄅ一ˉ	bi	pi1	bi1
bi2	bí	pi2	bi2	bi2	ㄅ一ˊ	byi	pi2	bi2
bi3	bǐ	pi3	bi3	bi3	ㄅ一ˇ	bii	pi3	bi3
bi4	bì	pi4	bi4	bi4	ㄅ一ˋ	bih	pi4	bi4
bian,bian0,bian5	bian	pien,pien0,pien5	byan,byan0,byan5	bian,bian0,bian5	ㄅ一ㄢ˙,ㄅ一ㄢ	.bian	pien,pien0,pien5	bian
bian1	biān	pien1	byan1	bian1	ㄅ一ㄢˉ	bian	pien1	bian1
bian2	bián	pien2	byan2	bian2	ㄅ一ㄢˊ	byan	pien2	bian2
bian3	biǎn	pien3	byan3	bian3	ㄅ一ㄢˇ	bean	pien3	bian3
bian4	biàn	pien4	byan4	bian4	ㄅ一ㄢˋ	biann	pien4	bian4
biao,biao0,biao5	biao	piao,piao0,piao5	byau,byau0,byau5	biau,biau0,biau5	ㄅ一ㄠ˙,ㄅ一ㄠ	.biau	piao,piao0,piao5	biao
biao1	biāo	piao1	byau1	biau1	ㄅ一ㄠˉ	biau	piao1	biao1
biao2	biáo	piao2	byau2	biau2	ㄅ一ㄠˊ	byau	piao2	biao2
biao3	biǎo	piao3	byau3	biau3	ㄅ一ㄠˇ	beau	piao3	biao3
biao4	biào	piao4	byau4	biau4	ㄅ一ㄠˋ	biaw	piao4	biao4
bie,bie0,bie5	bie	pieh,pieh0,pieh5	bye,bye0,bye5	bie,bie0,bie5	ㄅ一ㄝ˙,ㄅ一ㄝ	.bie	pie,pie0,pie5	bie
bie1	biē	pieh1	bye1	bie1	ㄅ一ㄝˉ	bie	pie1	bie1
bie2	bié	pieh2	bye2	bie2	ㄅ一ㄝˊ	bye	pie2	bie2
bie3	biě	pieh3	bye3	bie3	ㄅ一ㄝˇ	biee	pie3	bie3
bie4	biè	pieh4	bye4	bie4	ㄅ一ㄝˋ	bieh	pie4	bie4
bin,bin0,bin5	bin	pin,pin0,pin5	bin,bin0,bin5	bin,bin0,bin5	ㄅ一ㄣ˙,ㄅ一ㄣ	.bin	pin,pin0,pin5	bin
bin1	bīn	pin1	bin1	bin1	ㄅ一ㄣˉ	bin	pin1	bin1
bin2	bín	pin2	bin2	bin2	ㄅ一ㄣˊ	byn	pin2	bin2
bin3	bǐn	pin3	bin3	bin3	ㄅ一ㄣˇ	biin	pin3	bin3
bin4	bìn	pin4	bin4	bin4	ㄅ一ㄣˋ	binn	pin4	bin4
bing,bing0,bing5	bing	ping,ping0,ping5	bing,bing0,bing5	bing,bing0,bing5	ㄅ一ㄥ˙,ㄅ一ㄥ	.bing	ping,ping0,ping5	bing
bing1	bīng	ping1	bing1	bing1	ㄅ一ㄥˉ	bing	ping1	bing1
bing2	bíng	ping2	bing2	bing2	ㄅ一ㄥˊ	byng	ping2	bing2
bing3	bǐng	ping3	bing3	bing3	ㄅ一ㄥˇ	biing	ping3	bing3
bing4	bìng	ping4	bing4	bing4	ㄅ一ㄥˋ	binq	ping4	bing4
bo,bo0,bo5	bo	po,po0,po5	bwo,bwo0,bwo5	bo,bo0,bo5	ㄅㄛ˙,ㄅㄛ	.bo	po,po0,po5	bo
bo1	bō	po1	bwo1	bo1	ㄅㄛˉ	bo	po1	bo1
bo2	bó	po2	bwo2	bo2	ㄅㄛˊ	bor	po2	bo2
bo3	bǒ	po3	bwo3	bo3	ㄅㄛˇ	boo	po3	bo3
bo4	bò	po4	bwo4	bo4	ㄅㄛˋ	boh	po4	bo4
bu,bu0,bu5	bu	pu,pu0,pu5	bu,bu0,bu5	bu,bu0,bu5	ㄅㄨ˙,ㄅㄨ	.bu	pou,pou0,pou5	bu
bu1	bū	pu1	bu1	bu1	ㄅㄨˉ	bu	pou1	bu1
bu2	bú	pu2	bu2	bu2	ㄅㄨˊ	bwu	pou2	bu2
bu3	bǔ	pu3	bu3	bu3	ㄅㄨˇ	buu	pou3	bu3
bu4	bù	pu4	bu4	bu4	ㄅㄨˋ	buh	pou4	bu4
ca,ca0,ca5	ca	ts'a,ts'a0,ts'a5	tsa,tsa0,tsa5	tsa,tsa0,tsa5	ㄘㄚ˙,ㄘㄚ	.tsa	ts'a,ts'a0,ts'a5	ca
ca1	cā	ts'a1	tsa1	tsa1	ㄘㄚˉ	tsa	ts'a1	ca1
ca2	cá	ts'a2	tsa2	tsa2	ㄘㄚˊ	tsar	ts'a2	ca2
ca3	cǎ	ts'a3	tsa3	tsa3	ㄘㄚˇ	tsaa	ts'a3	ca3
ca4	cà	ts'a4	tsa4	tsa4	ㄘㄚˋ	tsah	ts'a4	ca4
cai,cai0,cai5	cai	ts'ai,ts'ai0,ts'ai5	tsai,tsai0,tsai5	tsai,tsai0,tsai5	ㄘㄞ˙,ㄘㄞ	.tsai	ts'ai,ts'ai0,ts'ai5	cai
cai1	cāi	ts'ai1	tsai1	tsai1	ㄘㄞˉ	tsai	ts'ai1	cai1
cai2	cái	ts'ai2	tsai2	tsai2	ㄘㄞˊ	tsair	ts'ai2	cai2
cai3	cǎi	ts'ai3	tsai3	tsai3	ㄘㄞˇ	tsae	ts'ai3	cai3
cai4	cài	ts'ai4	tsai4	tsai4	ㄘㄞˋ	tsay	ts'ai4	cai4
can,can0,can5	can	ts'an,ts'an0,ts'an5	tsan,tsan0,tsan5	tsan,tsan0,tsan5	ㄘㄢ˙,ㄘㄢ	.tsan	ts'an,ts'an0,ts'an5	can
can1	cān	ts'an1	tsan1	tsan1	ㄘㄢˉ	tsan	ts'an1	can1
can2	cán	ts'an2	tsan2	tsan2	ㄘㄢˊ	tsarn	ts'an2	can2
can3	cǎn	ts'an3	tsan3	tsan3	ㄘㄢˇ	tsaan	ts'an3	can3
can4	càn	ts'an4	tsan4	tsan4	ㄘㄢˋ	tsann	ts'an4	can4
cang,cang0,cang5	cang	ts'ang,ts'ang0,ts'ang5	tsang,tsang0,tsang5	tsang,tsang0,tsang5	ㄘㄤ˙,ㄘㄤ	.tsang	ts'ang,ts'ang0,ts'ang5	cang
cang1	cāng	ts'ang1	tsang1	tsang1	ㄘㄤˉ	tsang	ts'ang1	cang1
cang2	cáng	ts'ang2	tsang2	tsang2	ㄘㄤˊ	tsarng	ts'ang2	cang2
cang3	cǎng	ts'ang3	tsang3	tsang3	ㄘㄤˇ	tsaang	ts'ang3	cang3
cang4	càng	ts'ang4	tsang4	tsang4	ㄘㄤˋ	tsanq	ts'ang4	cang4
cao,cao0,cao5	cao	ts'ao,ts'ao0,ts'ao5	tsau,tsau0,tsau5	tsau,tsau0,tsau5	ㄘㄠ˙,ㄘㄠ	.tsau	ts'ao,ts'ao0,ts'ao5	cao
cao1	cāo	ts'ao1	tsau1	tsau1	ㄘㄠˉ	tsau	ts'ao1	cao1
cao2	cáo	ts'ao2	tsau2	tsau2	ㄘㄠˊ	tsaur	ts'ao2	cao2
cao3	cǎo	ts'ao3	tsau3	tsau3	ㄘㄠˇ	tsao	ts'ao3	cao3
cao4	cào	ts'ao4	tsau4	tsau4	ㄘㄠˋ	tsaw	ts'ao4	cao4
ce,ce0,ce5	ce	ts'eh,ts'eh0,ts'eh5,ts'êh,ts'êh0,ts'êh5	tse,tse0,tse5	tse,tse0,tse5	ㄘㄜ˙,ㄘㄜ	.tse	ts'ö,ts'ö0,ts'ö5	ce
ce1	cē	ts'eh1,ts'êh1	tse1	tse1	ㄘㄜˉ	tse	ts'ö1	ce1
ce2	cé	ts'eh2,ts'êh2	tse2	tse2	ㄘㄜˊ	tser	ts'ö2	ce2
ce3	cě	ts'eh3,ts'êh3	tse3	tse3	ㄘㄜˇ	tsee	ts'ö3	ce3
ce4	cè	ts'eh4,ts'êh4	tse4	tse4	ㄘㄜˋ	tseh	ts'ö4	ce4
cen,cen0,cen5	cen	ts'en,ts'en0,ts'en5,ts'ên,ts'ên0,ts'ên5	tsen,tsen0,tsen5	tsen,tsen0,tsen5	ㄘㄣ˙,ㄘㄣ	.tsen	ts'en,ts'en0,ts'en5	cen
cen1	cēn	ts'en1,ts'ên1	tsen1	tsen1	ㄘㄣˉ	tsen	ts'en1	cen1
cen2	cén	ts'en2,ts'ên2	tsen2	tsen2	ㄘㄣˊ	tsern	ts'en2	cen2
cen3	cěn	ts'en3,ts'ên3	tsen3	tsen3	ㄘㄣˇ	tseen	ts'en3	cen3
cen4	cèn	ts'en4,ts'ên4	tsen4	tsen4	ㄘㄣˋ	tsenn	ts'en4	cen4
ceng,ceng0,ceng5	ceng	ts'eng,ts'eng0,ts'eng5,ts'êng,ts'êng0,ts'êng5	tseng,tseng0,tseng5	tseng,tseng0,tseng5	ㄘㄥ˙,ㄘㄥ	.tseng	ts'eng,ts'eng0,ts'eng5	ceng
ceng1	cēng	ts'eng1,ts'êng1	tseng1	tseng1	ㄘㄥˉ	tseng	ts'eng1	ceng1
ceng2	céng	ts'eng2,ts'êng2	tseng2	tseng2	ㄘㄥˊ	tserng	ts'eng2	ceng2
ceng3	cěng	ts'eng3,ts'êng3	tseng3	tseng3	ㄘㄥˇ	tseeng	ts'eng3	ceng3
ceng4	cèng	ts'eng4,ts'êng4	tseng4	tseng4	ㄘㄥˋ	tsenq	ts'eng4	ceng4
ci,ci0,ci5	ci	tz'u,tz'u0,tz'u5	tsz,tsz0,tsz5	tsz,tsz0,tsz5	ㄘ˙,ㄘ	.tsy	ts'eu,ts'eu0,ts'eu5	cih
ci1	cī	tz'u1	tsz1	tsz1	ㄘˉ	tsy	ts'eu1	cih1
ci2	cí	tz'u2	tsz2	tsz2	ㄘˊ	tsyr	ts'eu2	cih2
ci3	cǐ	tz'u3	tsz3	tsz3	ㄘˇ	tsyy	ts'eu3	cih3
ci4	cì	tz'u4	tsz4	tsz4	ㄘˋ	tsyh	ts'eu4	cih4
cong,cong0,cong5	cong	ts'ung,ts'ung0,ts'ung5	tsung,tsung0,tsung5	tsung,tsung0,tsung5	ㄘㄨㄥ˙,ㄘㄨㄥ	.tsong	ts'ong,ts'ong0,ts'ong5	cong
cong1	cōng	ts'ung1	tsung1	tsung1	ㄘㄨㄥˉ	tsong	ts'ong1	cong1
cong2	cóng	ts'ung2	tsung2	tsung2	ㄘㄨㄥˊ	tsorng	ts'ong2	cong2
cong3	cǒng	ts'ung3	tsung3	tsung3	ㄘㄨㄥˇ	tsoong	ts'ong3	cong3
cong4	còng	ts'ung4	tsung4	tsung4	ㄘㄨㄥˋ	tsonq	ts'ong4	cong4
cou,cou0,cou5	cou	ts'ou,ts'ou0,ts'ou5	tsou,tsou0,tsou5	tsou,tsou0,tsou5	ㄘㄡ˙,ㄘㄡ	.tsou	ts'eou,ts'eou0,ts'eou5	cou
cou1	cōu	ts'ou1	tsou1	tsou1	ㄘㄡˉ	tsou	ts'eou1	cou1
cou2	cóu	ts'ou2	tsou2	tsou2	ㄘㄡˊ	tsour	ts'eou2	cou2
cou3	cǒu	ts'ou3	tsou3	tsou3	ㄘㄡˇ	tsoou	ts'eou3	cou3
cou4	còu	ts'ou4	tsou4	tsou4	ㄘㄡˋ	tsow	ts'eou4	cou4
cu,cu0,cu5	cu	ts'u,ts'u0,ts'u5	tsu,tsu0,tsu5	tsu,tsu0,tsu5	ㄘㄨ˙,ㄘㄨ	.tsu	ts'ou,ts'ou0,ts'ou5	cu
cu1	cū	ts'u1	tsu1	tsu1	ㄘㄨˉ	tsu	ts'ou1	cu1
cu2	cú	ts'u2	tsu2	tsu2	ㄘㄨˊ	tswu	ts'ou2	cu2
cu3	cǔ	ts'u3	tsu3	tsu3	ㄘㄨˇ	tsuu	ts'ou3	cu3
cu4	cù	ts'u4	tsu4	tsu4	ㄘㄨˋ	tsuh	ts'ou4	cu4
cuan,cuan0,cuan5	cuan	ts'uan,ts'uan0,ts'uan5	tswan,tswan0,tswan5	tsuan,tsuan0,tsuan5	ㄘㄨㄢ˙,ㄘㄨㄢ	.tsuan	ts'ouan,ts'ouan0,ts'ouan5	cuan
cuan1	cuān	ts'uan1	tswan1	tsuan1	ㄘㄨㄢˉ	tsuan	ts'ouan1	cuan1
cuan2	cuán	ts'uan2	tswan2	tsuan2	ㄘㄨㄢˊ	tswan	ts'ouan2	cuan2
cuan3	cuǎn	ts'uan3	tswan3	tsuan3	ㄘㄨㄢˇ	tsoan	ts'ouan3	cuan3
cuan4	cuàn	ts'uan4	tswan4	tsuan4	ㄘㄨㄢˋ	tsuann	ts'ouan4	cuan4
cui,cui0,cui5	cui	ts'ui,ts'ui0,ts'ui5	tswei,tswei0,tswei5	tsuei,tsuei0,tsuei5	ㄘㄨㄟ˙,ㄘㄨㄟ	.tsuei	ts'ouei,ts'ouei0,ts'ouei5	cuei
cui1	cuī	ts'ui1	tswei1	tsuei1	ㄘㄨㄟˉ	tsuei	ts'ouei1	cuei1
cui2	cuí	ts'ui2	tswei2	tsuei2	ㄘㄨㄟˊ	tswei	ts'ouei2	cuei2
cui3	cuǐ	ts'ui3	tswei3	tsuei3	ㄘㄨㄟˇ	tsoei	ts'ouei3	cuei3
cui4	cuì	ts'ui4	tswei4	tsuei4	ㄘㄨㄟˋ	tsuey	ts'ouei4	cuei4
cun,cun0,cun5	cun	ts'un,ts'un0,ts'un5	tswun,tswun0,tswun5	tsuen,tsuen0,tsuen5	ㄘㄨㄣ˙,ㄘㄨㄣ	.tsuen	ts'ouen,ts'ouen0,ts'ouen5	cun
cun1	cūn	ts'un1	tswun1	tsuen1	ㄘㄨㄣˉ	tsuen	ts'ouen1	cun1
cun2	cún	ts'un2	tswun2	tsuen2	ㄘㄨㄣˊ	tswen	ts'ouen2	cun2
cun3	cǔn	ts'un3	tswun3	tsuen3	ㄘㄨㄣˇ	tsoen	ts'ouen3	cun3
cun4	cùn	ts'un4	tswun4	tsuen4	ㄘㄨㄣˋ	tsuenn	ts'ouen4	cun4
cuo,cuo0,cuo5	cuo	ts'o,ts'o0,ts'o5	tswo,tswo0,tswo5	tsuo,tsuo0,tsuo5	ㄘㄨㄛ˙,ㄘㄨㄛ	.tsuo	ts'o,ts'o0,ts'o5	cuo
cuo1	cuō	ts'o1	tswo1	tsuo1	ㄘㄨㄛˉ	tsuo	ts'o1	cuo1
cuo2	cuó	ts'o2	tswo2	tsuo2	ㄘㄨㄛˊ	tswo	ts'o2	cuo2
cuo3	cuǒ	ts'o3	tswo3	tsuo3	ㄘㄨㄛˇ	tsuoo	ts'o3	cuo3
cuo4	cuò	ts'o4	tswo4	tsuo4	ㄘㄨㄛˋ	tsuoh	ts'o4	cuo4
cha,cha0,cha5	cha	ch'a,ch'a0,ch'a5	cha,cha0,cha5	cha,cha0,cha5	ㄔㄚ˙,ㄔㄚ	.cha	tch'a,tch'a0,tch'a5	cha
cha1	chā	ch'a1	cha1	cha1	ㄔㄚˉ	cha	tch'a1	cha1
cha2	chá	ch'a2	cha2	cha2	ㄔㄚˊ	char	tch'a2	cha2
cha3	chǎ	ch'a3	cha3	cha3	ㄔㄚˇ	chaa	tch'a3	cha3
cha4	chà	ch'a4	cha4	cha4	ㄔㄚˋ	chah	tch'a4	cha4
chai,chai0,chai5	chai	ch'ai,ch'ai0,ch'ai5	chai,chai0,chai5	chai,chai0,chai5	ㄔㄞ˙,ㄔㄞ	.chai	tch'ai,tch'ai0,tch'ai5	chai
chai1	chāi	ch'ai1	chai1	chai1	ㄔㄞˉ	chai	tch'ai1	chai1
chai2	chái	ch'ai2	chai2	chai2	ㄔㄞˊ	chair	tch'ai2	chai2
chai3	chǎi	ch'ai3	chai3	chai3	ㄔㄞˇ	chae	tch'ai3	chai3
chai4	chài	ch'ai4	chai4	chai4	ㄔㄞˋ	chay	tch'ai4	chai4
chan,chan0,chan5	chan	ch'an,ch'an0,ch'an5	chan,chan0,chan5	chan,chan0,chan5	ㄔㄢ˙,ㄔㄢ	.chan	tch'an,tch'an0,tch'an5	chan
chan1	chān	ch'an1	chan1	chan1	ㄔㄢˉ	chan	tch'an1	chan1
chan2	chán	ch'an2	chan2	chan2	ㄔㄢˊ	charn	tch'an2	chan2
chan3	chǎn	ch'an3	chan3	chan3	ㄔㄢˇ	chaan	tch'an3	chan3
chan4	chàn	ch'an4	chan4	chan4	ㄔㄢˋ	chann	tch'an4	chan4
chang,chang0,chang5	chang	ch'ang,ch'ang0,ch'ang5	chang,chang0,chang5	chang,chang0,chang5	ㄔㄤ˙,ㄔㄤ	.chang	tch'ang,tch'ang0,tch'ang5	chang
chang1	chāng	ch'ang1	chang1	chang1	ㄔㄤˉ	chang	tch'ang1	chang1
chang2	cháng	ch'ang2	chang2	chang2	ㄔㄤˊ	charng	tch'ang2	chang2
chang3	chǎng	ch'ang3	chang3	chang3	ㄔㄤˇ	chaang	tch'ang3	chang3
chang4	chàng	ch'ang4	chang4	chang4	ㄔㄤˋ	chanq	tch'ang4	chang4
chao,chao0,chao5	chao	ch'ao,ch'ao0,ch'ao5	chau,chau0,chau5	chau,chau0,chau5	ㄔㄠ˙,ㄔㄠ	.chau	tch'ao,tch'ao0,tch'ao5	chao
chao1	chāo	ch'ao1	chau1	chau1	ㄔㄠˉ	chau	tch'ao1	chao1
chao2	cháo	ch'ao2	chau2	chau2	ㄔㄠˊ	chaur	tch'ao2	chao2
chao3	chǎo	ch'ao3	chau3	chau3	ㄔㄠˇ	chao	tch'ao3	chao3
chao4	chào	ch'ao4	chau4	chau4	ㄔㄠˋ	chaw	tch'ao4	chao4
che,che0,che5	che	ch'e,ch'e0,ch'e5,ch'ê,ch'ê0,ch'ê5	che,che0,che5	che,che0,che5	ㄔㄜ˙,ㄔㄜ	.che	tch'ö,tch'ö0,tch'ö5	che
che1	chē	ch'e1,ch'ê1	che1	che1	ㄔㄜˉ	che	tch'ö1	che1
che2	ché	ch'e2,ch'ê2	che2	che2	ㄔㄜˊ	cher	tch'ö2	che2
che3	chě	ch'e3,ch'ê3	che3	che3	ㄔㄜˇ	chee	tch'ö3	che3
che4	chè	ch'e4,ch'ê4	che4	che4	ㄔㄜˋ	cheh	tch'ö4	che4
chen,chen0,chen5	chen	ch'en,ch'en0,ch'en5,ch'ên,ch'ên0,ch'ên5	chen,chen0,chen5	chen,chen0,chen5	ㄔㄣ˙,ㄔㄣ	.chen	tch'en,tch'en0,tch'en5	chen
chen1	chēn	ch'en1,ch'ên1	chen1	chen1	ㄔㄣˉ	chen	tch'en1	chen1
chen2	chén	ch'en2,ch'ên2	chen2	chen2	ㄔㄣˊ	chern	tch'en2	chen2
chen3	chěn	ch'en3,ch'ên3	chen3	chen3	ㄔㄣˇ	cheen	tch'en3	chen3
chen4	chèn	ch'en4,ch'ên4	chen4	chen4	ㄔㄣˋ	chenn	tch'en4	chen4
cheng,cheng0,cheng5	cheng	ch'eng,ch'eng0,ch'eng5,ch'êng,ch'êng0,ch'êng5	cheng,cheng0,cheng5	cheng,cheng0,cheng5	ㄔㄥ˙,ㄔㄥ	.cheng	tch'eng,tch'eng0,tch'eng5	cheng
cheng1	chēng	ch'eng1,ch'êng1	cheng1	cheng1	ㄔㄥˉ	cheng	tch'eng1	cheng1
cheng2	chéng	ch'eng2,ch'êng2	cheng2	cheng2	ㄔㄥˊ	cherng	tch'eng2	cheng2
cheng3	chěng	ch'eng3,ch'êng3	cheng3	cheng3	ㄔㄥˇ	cheeng	tch'eng3	cheng3
cheng4	chèng	ch'eng4,ch'êng4	cheng4	cheng4	ㄔㄥˋ	chenq	tch'eng4	cheng4
chi,chi0,chi5	chi	ch'ih,ch'ih0,ch'ih5	chr,chr0,chr5	chi,chi0,chi5	ㄔ˙,ㄔ	.chy	tch'e,tch'e0,tch'e5	chih
chi1	chī	ch'ih1	chr1	chi1	ㄔˉ	chy	tch'e1	chih1
chi2	chí	ch'ih2	chr2	chi2	ㄔˊ	chyr	tch'e2	chih2
chi3	chǐ	ch'ih3	chr3	chi3	ㄔˇ	chyy	tch'e3	chih3
chi4	chì	ch'ih4	chr4	chi4	ㄔˋ	chyh	tch'e4	chih4
chong,chong0,chong5	chong	ch'ung,ch'ung0,ch'ung5	chung,chung0,chung5	chung,chung0,chung5	ㄔㄨㄥ˙,ㄔㄨㄥ	.chong	tch'ong,tch'ong0,tch'ong5	chong
chong1	chōng	ch'ung1	chung1	chung1	ㄔㄨㄥˉ	chong	tch'ong1	chong1
chong2	chóng	ch'ung2	chung2	chung2	ㄔㄨㄥˊ	chorng	tch'ong2	chong2
chong3	chǒng	ch'ung3	chung3	chung3	ㄔㄨㄥˇ	choong	tch'ong3	chong3
chong4	chòng	ch'ung4	chung4	chung4	ㄔㄨㄥˋ	chonq	tch'ong4	chong4
chou,chou0,chou5	chou	ch'ou,ch'ou0,ch'ou5	chou,chou0,chou5	chou,chou0,chou5	ㄔㄡ˙,ㄔㄡ	.chou	tch'eou,tch'eou0,tch'eou5	chou
chou1	chōu	ch'ou1	chou1	chou1	ㄔㄡˉ	chou	tch'eou1	chou1
chou2	chóu	ch'ou2	chou2	chou2	ㄔㄡˊ	chour	tch'eou2	chou2
chou3	chǒu	ch'ou3	chou3	chou3	ㄔㄡˇ	choou	tch'eou3	chou3
chou4	chòu	ch'ou4	chou4	chou4	ㄔㄡˋ	chow	tch'eou4	chou4
